"Heizung Lüftung Klima","0/-/-","","","","","Auto"
"nvoTHWaterSP geforderte Temperatur im Warmwasserspeicher","0/3/37","","","","DPST-9-1","Auto"
"nvoTPoolSP geforderte Poolwasser-Temperatur","0/3/40","","","","DPST-9-1","Auto"
"nviNormAussen","0/3/91","","","","DPST-9-1","Auto"
"nviHeizkreisNorm","0/3/92","","","","DPST-9-1","Auto"
"nviTHeizgrenze","0/3/93","","","","DPST-9-1","Auto"
"nviTheizgrenzeSoll","0/3/94","","","","DPST-9-1","Auto"
"nviSollKuehlen geforderte Kugeforderte Ku¨hl Temperatur","0/3/109","","","","DPST-9-1","Auto"
"nvoOPHComp1 Betriebsstunden Verdichter 1","0/3/111","","","","DPST-7-7","Auto"
"nvoOPHComp2 Betriebsstunden Verdichter 2","0/3/115","","","","DPST-7-7","Auto"
"nvoOPHHCP Betriebsstunden Heizungsumwälzpumpe","0/3/119","","","","DPST-7-7","Auto"
"nvoOPHSP Betriebsstunden Quellenpumpe","0/3/121","","","","DPST-7-7","Auto"
"nvoOPHSOLP Betriebsstunden Solarkreis","0/3/123","","","","DPST-7-7","Auto"
"nvoDO Digital Output Schaltzustand Wärmepumpe","0/3/152","","","","","Auto"
"nvoAlarm Meldung von Ausfällen > Wärmepumpenausfall","0/3/153","","","","","Auto"
"nvoInterruption Meldung Unterbrechung für Abschaltung","0/3/154","","","","","Auto"
"nviTempUpDown","0/3/164","","","","DPST-9-1","Auto"
"nvoSnlDo7 Schaltzustand","0/3/200","","","","DPST-1-1","Auto"
"nviSaveConfig Einstellungen speichern","0/3/220","","","","DPST-1-1","Auto"
"Beleuchtung","1/-/-","","","","","Auto"
"Keller","1/0/-","","","","","Auto"
"--- KG Kellertreppe ---","1/0/0","","","","","Auto"
"KG Kellertreppe An/Aus","1/0/1","","","","DPST-1-1","Auto"
"KG Kellertreppe DIM","1/0/2","","","","DPST-3-7","Auto"
"KG Kellertreppe WERT","1/0/3","","","","DPST-5-1","Auto"
"KG Kellertreppe RM","1/0/4","","","","DPST-1-1","Auto"
